% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:17"
% Dimension,0
% Nodes,7410
% Expressions,9
% Description,"overpot_electrolyte, overpot_electrolyte_ohmic, overpot_electrolyte_concentration, overpot_ct, equilibrium_pot, overpot_rest, Cell potential, Number of cycles, Cell current"
% t,overpot_electrolyte (V),overpot_electrolyte_ohmic (V),overpot_electrolyte_concentration (V),overpot_ct (V),equilibrium_pot (V),overpot_rest (V),liion.cdc1.phis0 (V),liion.cdc1.cycle_counter,liion.cdc1.Icell (A)
3390,-0.11052936047044162,-0.043678703152437104,-0.06685065731800452,-0.05037985910756115,3.7801860641482117,-0.08341979884429915,3.5358570457259098,0,-0.8479272327816013
3420,-0.11117827039360695,-0.04381969601074981,-0.06735857438285714,-0.0507467311777079,3.7709101531122,-0.0820714716090748,3.5269136799318104,0,-0.8479272327816026
3450,-0.11165663558941025,-0.04394590781547357,-0.06771072777393668,-0.05110384902844027,3.7622017778788157,-0.08110276565003294,3.5183385276109322,0,-0.8479272327816013
3480,-0.11201558061554295,-0.04403493195848853,-0.06798064865705442,-0.05122207760025805,3.7536003903099835,-0.08031208506276327,3.5100506470314192,0,-0.8479272327816014
3510,-0.11229327711220669,-0.04410947231560738,-0.0681838047965993,-0.051653593971681226,3.7454429777453035,-0.07947075581673727,3.5020253508446784,0,-0.8479272327816021
3540,-0.11256396583538869,-0.04418842462094342,-0.06837554121444528,-0.051614869635798685,3.737588953462932,-0.07909405544567127,3.494316062546073,0,-0.8479272327816019
3570,-0.1127364193227943,-0.04422514457376678,-0.06851127474902752,-0.051962804714908994,3.7301083953439558,-0.07853402302386173,3.4868751482823908,0,-0.8479272327816015
3600,-0.11300807332680313,-0.04432153459882328,-0.06868653872797985,-0.05223901354077655,3.722982276309698,-0.07794570243842897,3.479789487003689,0,-0.847927232781601
3630,-0.11337559589424348,-0.044467811590696335,-0.06890778430354715,-0.05251415991127478,3.716177271186351,-0.07742170986360528,3.4728658055172277,0,-0.8479272327816013
3660,-0.11378219645296833,-0.04462912626927643,-0.0691530701836919,-0.05275135731777095,3.7097511906710325,-0.07711539878494025,3.466102238115353,0,-0.8479272327816009
3690,-0.11433085444325158,-0.04486245048816788,-0.0694684039550837,-0.05300039308987187,3.7037112199352347,-0.07693350304511282,3.4594464693569984,0,-0.847927232781602
3720,-0.11506750904477211,-0.045164342186750035,-0.06990316685802209,-0.05335022074934269,3.697954099281593,-0.0766255576151055,3.4529108118723726,0,-0.8479272327816021
3750,-0.11588830765681388,-0.04549028647761335,-0.07039802117920052,-0.05375507525154384,3.692506088572019,-0.07643945509560976,3.4464232505680514,0,-0.8479272327816015
3780,-0.11685251802561414,-0.04587567573546895,-0.0709768422901452,-0.05420306380029029,3.687224682905862,-0.07617710371990227,3.4399919973600555,0,-0.847927232781601
3810,-0.11793758037680652,-0.04630926736273581,-0.07162831301407072,-0.05464757478274358,3.682280717116484,-0.07609776483573794,3.433597797121196,0,-0.8479272327816016
